sigXX-0.0;sigYY-0.0;sigXX-0.1;sigYY-0.1;sigXX-0.2;sigYY-0.2;sigXX-0.3;sigYY-0.3;sigXX-0.4;sigYY-0.4;tau_sigXX;tau_sigYY;tau_sigXY;aniso_theta;aniso_sig0;aniso_r
1.008692;0.041223;0.993789;0.040614;0.946732;0.038691;0.859630;0.035131;0.714633;0.029205;0.988133;0.943311;0.038562;65.000000;0.946390;0.607670
1.008955;0.041869;0.994053;0.041250;0.946998;0.039298;0.859895;0.035683;0.714881;0.029665;0.988058;0.943243;0.039153;66.000000;0.946090;0.610460
1.009217;0.042515;0.994317;0.041887;0.947265;0.039905;0.860160;0.036235;0.715128;0.030126;0.987982;0.943173;0.039744;67.000000;0.945840;0.613350
1.009479;0.043161;0.994580;0.042524;0.947531;0.040513;0.860425;0.036788;0.715375;0.030587;0.987905;0.943102;0.040335;68.000000;0.945630;0.616330
1.009740;0.043808;0.994843;0.043162;0.947796;0.041121;0.860689;0.037341;0.715622;0.031048;0.987826;0.943030;0.040926;69.000000;0.945450;0.619370
1.010001;0.044455;0.995105;0.043800;0.948061;0.041729;0.860953;0.037895;0.715869;0.031509;0.987747;0.942957;0.041517;70.000000;0.945310;0.622450
1.010261;0.045103;0.995366;0.044438;0.948325;0.042338;0.861216;0.038449;0.716115;0.031971;0.987667;0.942882;0.042107;71.000000;0.945200;0.625540
1.010520;0.045751;0.995627;0.045076;0.948589;0.042947;0.861479;0.039003;0.716362;0.032433;0.987585;0.942807;0.042698;72.000000;0.945120;0.628610
1.010779;0.046399;0.995888;0.045715;0.948853;0.043556;0.861742;0.039557;0.716608;0.032895;0.987502;0.942731;0.043288;73.000000;0.945070;0.631650
1.011038;0.047047;0.996148;0.046355;0.949116;0.044166;0.862004;0.040112;0.716854;0.033358;0.987418;0.942654;0.043878;74.000000;0.945030;0.634640
1.011296;0.047696;0.996407;0.046994;0.949378;0.044776;0.862266;0.040667;0.717099;0.033821;0.987333;0.942576;0.044469;75.000000;0.945020;0.637550
1.011553;0.048345;0.996666;0.047634;0.949640;0.045386;0.862527;0.041223;0.717344;0.034284;0.987247;0.942496;0.045059;76.000000;0.945030;0.640360
1.011810;0.048995;0.996925;0.048274;0.949902;0.045997;0.862788;0.041779;0.717589;0.034748;0.987160;0.942416;0.045648;77.000000;0.945050;0.643060
1.012067;0.049645;0.997183;0.048915;0.950163;0.046608;0.863049;0.042335;0.717834;0.035212;0.987071;0.942335;0.046238;78.000000;0.945080;0.645620
1.012323;0.050295;0.997440;0.049556;0.950424;0.047220;0.863309;0.042892;0.718079;0.035676;0.986982;0.942252;0.046828;79.000000;0.945130;0.648040
1.012578;0.050946;0.997697;0.050197;0.950684;0.047832;0.863569;0.043449;0.718323;0.036141;0.986891;0.942169;0.047418;80.000000;0.945170;0.650300
1.012833;0.051597;0.997954;0.050839;0.950944;0.048444;0.863828;0.044006;0.718567;0.036606;0.986799;0.942084;0.048007;81.000000;0.945230;0.652380
1.013087;0.052248;0.998210;0.051481;0.951203;0.049056;0.864087;0.044564;0.718811;0.037071;0.986706;0.941999;0.048596;82.000000;0.945280;0.654280
1.013341;0.052899;0.998465;0.052123;0.951461;0.049669;0.864346;0.045121;0.719054;0.037537;0.986612;0.941912;0.049185;83.000000;0.945330;0.655970
1.013594;0.053551;0.998720;0.052765;0.951720;0.050282;0.864604;0.045680;0.719297;0.038003;0.986517;0.941825;0.049775;84.000000;0.945380;0.657460
1.013847;0.054204;0.998974;0.053408;0.951977;0.050896;0.864862;0.046238;0.719540;0.038469;0.986421;0.941736;0.050363;85.000000;0.945430;0.658740
1.014099;0.054856;0.999228;0.054052;0.952235;0.051510;0.865119;0.046797;0.719783;0.038936;0.986323;0.941647;0.050952;86.000000;0.945460;0.659790
1.014351;0.055509;0.999482;0.054695;0.952491;0.052124;0.865376;0.047357;0.720025;0.039402;0.986225;0.941556;0.051541;87.000000;0.945500;0.660620
1.014602;0.056162;0.999734;0.055339;0.952748;0.052738;0.865633;0.047916;0.720268;0.039870;0.986125;0.941464;0.052129;88.000000;0.945520;0.661210
1.014853;0.056816;0.999987;0.055984;0.953003;0.053353;0.865889;0.048476;0.720510;0.040337;0.986024;0.941372;0.052718;89.000000;0.945530;0.661560
1.015103;0.057470;1.000238;0.056628;0.953259;0.053968;0.866145;0.049037;0.720751;0.040805;0.985922;0.941278;0.053306;90.000000;0.945540;0.661680
1.015353;0.058124;1.000490;0.057273;0.953513;0.054584;0.866400;0.049597;0.720993;0.041273;0.985819;0.941183;0.053894;nan;nan;nan
1.015602;0.058779;1.000740;0.057918;0.953768;0.055200;0.866655;0.050158;0.721234;0.041742;0.985715;0.941087;0.054482;nan;nan;nan
1.015850;0.059433;1.000991;0.058564;0.954022;0.055816;0.866909;0.050719;0.721475;0.042211;0.985610;0.940991;0.055070;nan;nan;nan
1.016098;0.060089;1.001240;0.059210;0.954275;0.056433;0.867163;0.051281;0.721715;0.042680;0.985503;0.940893;0.055658;nan;nan;nan
1.016346;0.060744;1.001489;0.059856;0.954528;0.057049;0.867417;0.051843;0.721955;0.043149;0.985396;0.940794;0.056246;nan;nan;nan
1.016593;0.061400;1.001738;0.060503;0.954780;0.057667;0.867670;0.052405;0.722196;0.043619;0.985287;0.940694;0.056833;nan;nan;nan
1.016839;0.062056;1.001986;0.061150;0.955032;0.058284;0.867923;0.052968;0.722435;0.044089;0.985177;0.940593;0.057420;nan;nan;nan
1.017085;0.062713;1.002234;0.061797;0.955283;0.058902;0.868175;0.053531;0.722675;0.044560;0.985066;0.940491;0.058008;nan;nan;nan
1.017330;0.063370;1.002481;0.062445;0.955534;0.059520;0.868427;0.054094;0.722914;0.045030;0.984954;0.940388;0.058595;nan;nan;nan
1.017575;0.064027;1.002727;0.063093;0.955784;0.060139;0.868679;0.054658;0.723153;0.045501;0.984841;0.940284;0.059181;nan;nan;nan
1.017819;0.064684;1.002973;0.063741;0.956034;0.060758;0.868930;0.055222;0.723392;0.045973;0.984727;0.940179;0.059768;nan;nan;nan
1.018063;0.065342;1.003219;0.064389;0.956283;0.061377;0.869181;0.055786;0.723630;0.046445;0.984612;0.940073;0.060355;nan;nan;nan
1.018306;0.066000;1.003464;0.065038;0.956532;0.061996;0.869431;0.056351;0.723868;0.046917;0.984495;0.939966;0.060941;nan;nan;nan
1.018549;0.066659;1.003708;0.065688;0.956780;0.062616;0.869681;0.056916;0.724106;0.047389;0.984378;0.939858;0.061527;nan;nan;nan
1.018791;0.067318;1.003952;0.066337;0.957028;0.063237;0.869930;0.057481;0.724343;0.047862;0.984259;0.939749;0.062114;nan;nan;nan
1.019033;0.067977;1.004195;0.066987;0.957275;0.063857;0.870179;0.058047;0.724581;0.048335;0.984139;0.939639;0.062699;nan;nan;nan
1.019274;0.068636;1.004438;0.067637;0.957522;0.064478;0.870427;0.058613;0.724818;0.048808;0.984018;0.939528;0.063285;nan;nan;nan
1.019514;0.069296;1.004680;0.068288;0.957769;0.065099;0.870675;0.059179;0.725054;0.049282;0.983896;0.939416;0.063871;nan;nan;nan
